"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"01.05.2018","25,4150","26,8950","26,9350","25,0550","-5,59%"
"01.04.2018","26,9185","26,8814","27,1238","25,4589","0,18%"
"01.03.2018","26,8697","28,0805","28,1548","25,9330","-4,31%"
"01.02.2018","28,0812","29,0696","29,3932","27,9867","-3,43%"
"01.01.2018","29,0791","29,7280","30,3384","28,5622","-2,20%"
"01.12.2017","29,7322","28,7086","30,0041","28,4396","3,54%"
"01.11.2017","28,7153","29,9736","30,0903","28,0187","-4,18%"
"01.10.2017","29,9671","31,5851","31,6816","29,6517","-5,06%"
"01.09.2017","31,5655","31,8528","32,4432","31,3871","-0,90%"
"01.08.2017","31,8519","31,3320","32,0750","30,6232","1,67%"
"01.07.2017","31,3286","31,8483","32,0472","30,9945","-1,84%"
"01.06.2017","31,9153","31,3943","32,1225","30,7772","1,63%"
"01.05.2017","31,4023","31,3351","32,0945","30,2893","-0,01%"
"01.04.2017","31,4069","30,6275","31,5050","29,0268","2,49%"
"01.03.2017","30,6435","30,9084","31,4831","30,2198","-0,90%"
"01.02.2017","30,9224","29,8818","31,7430","29,7997","3,43%"
"01.01.2017","29,8964","33,1652","33,2331","29,0694","-9,78%"
"01.12.2016","33,1363","33,2820","34,0063","31,7145","-0,50%"
"01.11.2016","33,3038","33,8654","33,9430","30,8687","-1,70%"
"01.10.2016","33,8796","33,7800","34,2606","33,2657","0,26%"
"01.09.2016","33,7901","34,9476","35,3092","33,4384","-3,36%"
"01.08.2016","34,9650","34,0850","34,9990","33,3950","2,36%"
"01.07.2016","34,1580","35,8520","36,9180","33,9880","-4,83%"
"01.06.2016","35,8930","37,5070","37,6280","33,0320","-4,38%"
"01.05.2016","37,5360","38,0010","38,2330","35,9270","-1,35%"
"01.04.2016","38,0490","39,9430","39,9640","37,5930","-4,79%"
"01.03.2016","39,9630","37,9820","39,9780","37,7970","5,16%"
"01.02.2016","38,0020","40,9500","41,1520","37,6060","-7,23%"
"01.01.2016","40,9620","41,2170","41,2930","37,8530","-0,67%"
"01.12.2015","41,2380","42,2360","42,9390","40,1170","-2,41%"
"01.11.2015","42,2570","41,3590","43,6740","41,2580","2,12%"
"01.10.2015","41,3790","39,5980","42,1960","39,1380","4,45%"
"01.09.2015","39,6160","41,5510","41,6490","38,8340","-4,75%"
"01.08.2015","41,5900","44,7620","45,2560","39,1330","-7,02%"
"01.07.2015","44,7280","45,6590","46,9630","44,2630","-2,09%"
"01.06.2015","45,6810","46,6230","47,2450","44,6120","-2,01%"
"01.05.2015","46,6180","44,6330","47,2610","43,8730","4,37%"
"01.04.2015","44,6680","46,2140","46,6230","43,4310","-3,41%"
"01.03.2015","46,2450","47,5360","47,8410","45,2420","-2,95%"
"01.02.2015","47,6490","48,0130","49,1290","47,1620","-0,75%"
"01.01.2015","48,0110","51,1560","52,3270","47,8310","-6,36%"
"01.12.2014","51,2720","53,3420","54,0860","47,8120","-4,08%"
"01.11.2014","53,4510","50,5760","53,6510","50,4250","5,83%"
"01.10.2014","50,5060","48,1060","50,9650","46,1230","4,93%"
"01.09.2014","48,1320","48,0800","49,1060","47,6600","0,07%"
"01.08.2014","48,0960","47,9720","48,3400","46,3320","0,21%"
"01.07.2014","47,9950","47,7860","48,7500","47,1330","0,38%"
"01.06.2014","47,8150","48,4880","49,4320","47,3360","-1,49%"
"01.05.2014","48,5360","48,3610","49,5600","47,5050","0,27%"
"01.04.2014","48,4070","48,1630","49,2640","47,2470","0,40%"
"01.03.2014","48,2160","45,9460","48,2830","45,0880","4,64%"
"01.02.2014","46,0800","45,1370","47,2100","44,0500","2,10%"
"01.01.2014","45,1340","49,0470","49,1180","42,7900","-8,04%"
"01.12.2013","49,0810","50,6750","50,9720","48,0160","-3,23%"
"01.11.2013","50,7200","49,2340","51,0860","47,8890","2,93%"
"01.10.2013","49,2760","48,5780","50,1790","47,9960","1,26%"
"01.09.2013","48,6620","48,1520","50,8960","47,7030","1,14%"
"01.08.2013","48,1130","50,5140","52,0120","46,8420","-4,87%"
"01.07.2013","50,5740","51,3600","52,5990","50,3150","-1,60%"
"01.06.2013","51,3970","53,4800","53,7190","49,5970","-4,07%"
"01.05.2013","53,5750","54,2730","56,6300","52,7660","-1,40%"
"01.04.2013","54,3360","52,0280","56,0520","51,1900","4,32%"
"01.03.2013","52,0840","51,4480","53,8020","51,1980","1,15%"
"01.02.2013","51,4920","51,9730","53,3810","50,1930","-1,07%"
"01.01.2013","52,0500","48,6510","52,0970","48,4510","6,89%"
"01.12.2012","48,6950","46,0950","48,7610","45,6440","5,55%"
"01.11.2012","46,1340","44,4880","46,4020","43,7090","3,69%"
"01.10.2012","44,4920","43,3400","44,7000","42,7480","2,57%"
"01.09.2012","43,3760","43,0690","44,3160","42,6380","0,64%"
"01.08.2012","43,1020","43,4590","44,3950","42,7920","-0,96%"
"01.07.2012","43,5190","44,2310","44,5330","42,5610","-1,32%"
"01.06.2012","44,0990","41,9070","44,7200","41,3290","5,10%"
"01.05.2012","41,9600","45,3910","45,9040","41,8340","-7,64%"
"01.04.2012","45,4300","46,5140","46,7960","44,3540","-2,22%"
"01.03.2012","46,4600","46,3420","46,8320","44,8280","0,14%"
"01.02.2012","46,3950","42,8890","46,5400","42,6140","8,14%"
"01.01.2012","42,9030","40,7900","43,4660","40,3990","5,09%"
"01.12.2011","40,8250","42,3760","43,0120","40,2340","-3,70%"
"01.11.2011","42,3950","44,1060","44,8020","40,8820","-3,96%"
"01.10.2011","44,1410","41,4800","45,3250","40,1670","6,53%"
"01.09.2011","41,4360","44,6190","45,0130","40,7960","-7,15%"
"01.08.2011","44,6250","45,7170","47,2550","42,4540","-1,82%"
"01.07.2011","45,4520","49,5630","50,4260","44,9680","-8,53%"
"01.06.2011","49,6920","51,1230","51,3200","48,8520","-2,87%"
"01.05.2011","51,1610","53,3300","53,7880","50,0190","-4,20%"
"01.04.2011","53,4020","53,8270","56,8810","53,0660","-0,76%"
"01.03.2011","53,8100","51,1280","53,9180","48,2910","5,19%"
"01.02.2011","51,1560","51,1180","53,1250","50,5020","0,02%"
"01.01.2011","51,1480","52,3950","54,1960","50,4490","-2,90%"
"01.12.2010","52,6730","55,5810","56,9000","51,9610","-5,30%"
"01.11.2010","55,6190","55,9980","58,4090","55,0790","-0,86%"
"01.10.2010","56,1030","57,4500","58,6710","55,9120","-2,66%"
"01.09.2010","57,6380","54,9600","57,9720","54,6070","4,55%"
"01.08.2010","55,1290","57,1090","58,2750","54,3190","-3,87%"
"01.07.2010","57,3500","55,6150","58,4310","54,8050","2,94%"
"01.06.2010","55,7130","57,9040","59,2330","55,4330","-3,88%"
"01.05.2010","57,9630","63,0390","63,8520","55,3230","-7,98%"
"01.04.2010","62,9870","61,5240","64,0120","60,9230","2,35%"
"01.03.2010","61,5420","57,1030","61,6430","56,9740","7,11%"
"01.02.2010","57,4550","59,9240","61,5100","56,7500","-4,73%"
"01.01.2010","60,3090","61,8840","63,8600","59,0680","-2,63%"
"01.12.2009","61,9360","56,4330","62,5970","56,2850","9,56%"
"01.11.2009","56,5310","59,3870","61,3520","55,0910","-5,49%"
"01.10.2009","59,8130","60,3930","62,9820","58,8600","-1,15%"
"01.09.2009","60,5060","61,9250","62,6920","59,1560","-2,41%"
"01.08.2009","62,0010","64,2150","66,7300","61,4240","-3,67%"
"01.07.2009","64,3600","62,4610","65,0380","58,5260","2,96%"
"01.06.2009","62,5110","62,1240","64,3780","59,6670","0,71%"
"01.05.2009","62,0720","61,6440","64,7890","59,9680","0,64%"
"01.04.2009","61,6770","59,4350","65,0530","58,0630","3,72%"
"01.03.2009","59,4650","57,3480","59,8550","53,7430","3,62%"
"01.02.2009","57,3850","54,7110","58,6190","53,2870","4,80%"
"01.01.2009","54,7590","58,8580","62,5170","52,1460","-6,86%"
"01.12.2008","58,7890","60,8410","60,9400","56,4510","-3,66%"
"01.11.2008","61,0210","63,9540","67,9140","53,8480","-4,43%"
"01.10.2008","63,8470","82,9160","84,0850","52,5860","-23,14%"
"01.09.2008","83,0670","91,3870","91,9600","80,4420","-9,58%"
"01.08.2008","91,8700","92,9420","94,4280","90,3760","-1,04%"
"01.07.2008","92,8380","86,5830","93,7200","84,0540","7,08%"
"01.06.2008","86,7030","86,1130","89,2190","83,5440","0,15%"
"01.05.2008","86,5700","81,3880","87,8770","80,4550","6,17%"
"01.04.2008","81,5390","75,0600","82,2890","73,9480","8,59%"
"01.03.2008","75,0880","84,7410","86,4030","74,1010","-11,76%"
"01.02.2008","85,1000","90,5540","92,1120","84,6900","-6,23%"
"01.01.2008","90,7560","95,0060","95,8110","84,4450","-4,85%"
"01.12.2007","95,3850","93,6960","97,6600","91,6690","1,53%"
"01.11.2007","93,9500","98,6820","99,1130","87,1220","-5,24%"
"01.10.2007","99,1450","94,7720","99,9380","90,5580","4,23%"
"01.09.2007","95,1210","88,8850","95,8680","85,8800","6,83%"
"01.08.2007","89,0370","92,1170","95,7530","78,2060","-3,46%"
"01.07.2007","92,2260","93,6790","98,1540","88,8560","-1,72%"
"01.06.2007","93,8440","92,2200","95,2510","88,6930","1,56%"
"01.05.2007","92,4060","87,4090","92,6800","85,7450","5,54%"
"01.04.2007","87,5560","84,2970","90,0130","84,1650","3,47%"
"01.03.2007","84,6190","83,7980","85,6800","78,5550","0,95%"
"01.02.2007","83,8250","85,7640","88,0670","82,0980","-2,30%"
"01.01.2007","85,7940","84,0680","86,6780","80,8970","2,02%"
"01.12.2006","84,0940","79,7380","84,3450","78,4000","5,58%"
"01.11.2006","79,6460","80,2190","82,2220","77,6780","-0,78%"
"01.10.2006","80,2710","77,9160","82,2390","77,1300","2,87%"
"01.09.2006","78,0320","80,0640","81,0280","74,9030","-2,62%"
"01.08.2006","80,1290","76,4850","80,8920","75,3190","4,64%"
"01.07.2006","76,5790","72,2110","77,4700","71,2030","5,89%"
"01.06.2006","72,3160","71,4670","75,1330","65,8540","1,07%"
"01.05.2006","71,5480","85,8180","86,4390","70,2830","-16,89%"
"01.04.2006","86,0870","87,4590","88,7670","85,8630","-1,64%"
"01.03.2006","87,5230","88,0300","89,9730","85,7070","-0,64%"
"01.02.2006","88,0900","88,4680","90,4090","87,3350","-0,57%"
"01.01.2006","88,5990","87,2690","88,9690","84,1550","1,43%"
"01.12.2005","87,3490","88,1960","89,4790","85,4970","-1,12%"
"01.11.2005","88,3410","86,0310","88,4750","85,6410","2,58%"
"01.10.2005","86,1230","84,1070","86,3980","82,7960","2,19%"
"01.09.2005","84,2740","82,0630","84,5160","81,0050","2,48%"
"01.08.2005","82,2340","84,7490","85,5790","79,3780","-3,06%"
"01.07.2005","84,8290","83,0830","85,3100","81,0090","1,77%"
"01.06.2005","83,3560","79,4950","83,4410","77,2480","4,80%"
"01.05.2005","79,5350","75,0750","80,3780","74,9140","5,73%"
"01.04.2005","75,2250","79,0990","81,3930","74,1370","-5,01%"
"01.03.2005","79,1940","81,2820","84,0670","76,1670","-2,84%"
"01.02.2005","81,5080","77,5390","82,5480","76,9320","5,00%"
"01.01.2005","77,6270","76,0670","84,2770","69,6980","2,16%"